PLAYER_NAME,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
Caris LeVert,29.0,68,1958.0833333333333,952,280,346,76,34,117,0.421,0.325,0.766
Cason Wallace,20.0,86,1798.605,596,197,131,81,38,57,0.476,0.408,0.75
Cassius Stanley,24.0,4,42.721666666666664,26,11,2,4,2,4,0.417,0.25,0.882
Cayla George,35.0,32,273.44166666666666,75,58,13,10,5,27,0.288,0.234,0.0
Cedi Osman,29.0,72,1268.7516666666668,489,180,119,36,11,47,0.479,0.389,0.673
Cedric Henderson Jr.,24.0,3,12.15,3,3,3,0,0,0,0.5,0.5,0.0
Chance Comanche,28.0,6,83.90833333333333,46,16,5,4,5,2,0.593,0.333,0.813
Chandler Vaudrin,27.0,12,147.48333333333332,26,20,17,12,3,5,0.333,0.0,0.6
Chandler Vaudrin,27.0,2,27.283333333333335,6,2,1,1,0,1,0.75,0.0,0.0
Charles Bassey,23.0,19,205.275,63,76,21,8,17,15,0.725,0.0,0.833
Charles Bediako,22.0,7,86.61666666666666,38,37,4,2,5,10,0.517,0.0,0.533
Charles Bediako,22.0,5,24.343333333333334,8,10,0,0,1,4,0.667,0.0,0.0
Charlie Brown Jr.,27.0,17,566.1116666666667,301,114,56,35,15,43,0.423,0.328,0.737
Charlie Brown Jr.,27.0,12,155.8,85,27,8,7,9,12,0.492,0.355,0.8
Chase Audige,25.0,17,198.845,82,50,12,11,2,13,0.361,0.286,0.667
Chase Audige,25.0,7,101.125,45,6,10,6,3,5,0.471,0.4,0.714
Chaundee Brown Jr.,25.0,4,41.416666666666664,8,12,0,0,2,1,0.188,0.0,0.5
Chelsea Gray,31.0,40,1287.7233333333334,610,158,291,57,25,101,0.49,0.421,0.897
Chet Holmgren,22.0,86,2532.13,1423,687,208,57,204,146,0.528,0.361,0.787
Cheyenne Parker-Tyus,31.0,40,1065.99,600,267,71,43,59,90,0.482,0.278,0.829
Chimezie Metu,27.0,51,858.9066666666666,332,194,46,43,16,52,0.504,0.298,0.906
Chiney Ogwumike,32.0,10,212.16833333333332,84,43,13,13,3,12,0.43,0.077,0.714
Chris Boucher,31.0,50,704.8833333333333,322,207,23,14,24,28,0.507,0.33,0.772
Chris Clarke,28.0,30,560.425,143,157,86,28,10,48,0.353,0.261,0.591
Chris Clemons,26.0,13,380.465,200,67,62,15,7,21,0.406,0.352,0.789
Chris Duarte,27.0,59,719.5183333333333,230,106,44,28,8,26,0.381,0.346,0.788
Chris Livingston,20.0,26,224.01666666666668,79,50,13,7,0,15,0.508,0.25,0.611
Chris Livingston,20.0,16,447.49,226,113,19,20,14,26,0.465,0.377,0.471
Chris Paul,39.0,58,1530.89,533,225,393,70,6,76,0.441,0.371,0.827
Chris Silva,27.0,25,672.92,424,206,81,26,28,78,0.525,0.286,0.828
Chris Silva,27.0,4,46.085,17,14,1,0,2,4,0.417,0.0,0.778
Chris Smith,24.0,27,292.4433333333333,91,64,10,11,6,18,0.432,0.067,0.609
Chris Walker,29.0,29,387.5,150,156,32,9,40,20,0.656,0.0,0.481
Christian Braun,23.0,82,1655.565,600,306,132,42,35,55,0.46,0.384,0.694
Christian Wood,28.0,50,871.9433333333334,347,254,49,16,33,50,0.466,0.307,0.702
Chuma Okeke,25.0,47,431.73,107,80,20,9,7,16,0.357,0.28,0.571
Clint Capela,30.0,73,1883.0866666666666,836,776,91,43,106,74,0.571,0.0,0.631
Coby White,24.0,79,2881.3566666666666,1509,358,405,53,18,166,0.447,0.376,0.838
Cody Martin,28.0,28,752.9916666666667,211,109,104,32,18,44,0.381,0.314,0.606
Cody Zeller,31.0,43,319.70666666666665,76,112,39,9,5,16,0.419,0.333,0.605
Colbey Ross,25.0,8,187.86833333333334,83,21,38,9,2,22,0.431,0.333,0.739
Colby Jones,22.0,36,347.0516666666667,127,66,30,17,8,25,0.411,0.196,0.478
Colby Jones,22.0,13,469.06166666666667,258,100,59,26,11,44,0.513,0.375,0.536
Cole Anthony,24.0,81,1817.3116666666667,937,311,236,64,37,126,0.435,0.338,0.826
Cole Swider,25.0,18,86.79833333333333,42,7,5,1,1,8,0.395,0.333,1.0
Cole Swider,25.0,14,551.3333333333334,349,120,44,12,9,34,0.514,0.5,0.813
Cole Swider,25.0,7,193.755,107,40,4,3,2,14,0.461,0.453,0.929
Colin Castleton,24.0,23,245.69833333333332,120,75,33,7,8,15,0.563,0.0,0.833
Colin Castleton,24.0,12,343.54833333333335,169,118,34,11,19,24,0.534,1.0,0.743
Collin Gillespie,25.0,29,373.9483333333333,126,42,50,25,1,26,0.402,0.349,0.7
Collin Gillespie,25.0,8,323.3566666666667,169,71,84,16,2,30,0.448,0.397,0.909
Collin Sexton,25.0,78,2074.7633333333333,1458,205,383,62,18,165,0.487,0.394,0.859
Corey Kispert,25.0,80,2067.435,1070,225,157,42,16,98,0.486,0.383,0.726
Cory Joseph,32.0,26,295.8933333333333,63,30,42,4,3,12,0.359,0.31,0.571
Courtney Vandersloot,35.0,39,1186.65,410,136,314,51,23,104,0.442,0.294,0.761
Courtney Williams,30.0,40,1204.43,414,241,251,38,12,98,0.437,0.443,0.6
Craig Porter Jr.,24.0,57,805.4,357,153,150,26,20,60,0.502,0.302,0.776
Craig Porter Jr.,24.0,2,72.8,47,9,11,5,3,11,0.514,0.333,1.0
Craig Randall II,28.0,5,76.25,40,11,13,3,3,4,0.317,0.207,1.0
Craig Sword,30.0,33,768.7033333333334,285,101,45,38,12,31,0.56,0.421,0.818
Craig Sword,30.0,5,51.42666666666667,20,8,2,3,2,3,0.389,0.2,0.714
Crystal Dangerfield,26.0,35,972.4666666666667,287,101,108,33,7,41,0.425,0.29,0.815
Cyesha Goree,30.0,10,116.46166666666667,39,12,1,3,1,4,0.469,0.214,0.857
D'Angelo Russell,28.0,76,2484.1283333333336,1369,236,482,69,36,156,0.456,0.415,0.828
D'Moi Hodge,25.0,30,806.8333333333334,379,142,50,54,19,34,0.391,0.353,0.788
D'Moi Hodge,25.0,14,215.6,106,22,14,11,6,7,0.432,0.373,0.625
D.J. Carton,23.0,15,580.0816666666667,312,45,106,21,8,38,0.571,0.434,0.778
D.J. Carton,23.0,5,128.745,45,9,34,10,2,16,0.455,0.3,0.667
D.J. Carton,23.0,4,35.53333333333333,11,4,3,1,0,1,0.375,0.25,0.8
D.J. Wilson,28.0,27,929.3983333333333,568,265,131,21,39,82,0.573,0.416,0.78
D.J. Wilson,28.0,4,93.1,32,21,8,4,12,6,0.4,0.111,0.538
D.J. Wilson,28.0,2,15.466666666666667,10,2,2,0,2,0,0.667,1.0,0.0
